"pctile","GEI","EPAplay","pass_success","rush_success","early_down_success","early_down_EPA","late_down_success","success","yardsplay","dropbacks","rushes","EPAdropback","EPArush","yardsdropback","pass_explosive","rush_explosive","explosive","third_down_success","red_zone_success","play_stuffed","nonExplosiveEpaPerPlay","havoc","yardsrush","lineyards","opportunity_run","third_down_distance"
0.47,4.40108917827824,-0.000874818269249304,0.19661299765808,0.2,0.403404074702886,-0.0122290088361092,0.428571428571429,0.411764705882353,5.73592927631579,33,35,0.0165711101635698,-0.0332015605360701,6.21428571428571,0.0446533996683251,0.0327868852459016,0.0833333333333333,0.411764705882353,0.4,0.310344827586207,-0.309956856959169,0.140958829902492,4.6280197044335,1.51215541690301,0.232876712328767,6.73333333333333
0.48,4.47133625657141,0.0052100589262151,0.2,0.2,0.404255319148936,-0.0072524019280602,0.428571428571429,0.413333333333333,5.7851948051948,33,35,0.0256696679432669,-0.0255666309610842,6.26815742397138,0.0447761194029851,0.0338983050847458,0.0845070422535211,0.416666666666667,0.4,0.312435064935065,-0.306005159835333,0.142857142857143,4.66666666666667,1.5209674796748,0.235294117647059,6.77709401709402
0.49,4.54482666030834,0.00758283743896423,0.2,0.20318061440678,0.406361228813559,-0.00344470277007604,0.4375,0.414791744840525,5.81338079096045,33,35,0.0355374601635802,-0.0201672597620458,6.33333333333333,0.0454545454545455,0.0348837209302326,0.0857142857142857,0.417587719298246,0.4,0.314650436953808,-0.299276398669589,0.142857142857143,4.68589836660617,1.53863602251407,0.23728813559322,6.81930481283422
0.5,4.60455272014596,0.01310873713568,0.2,0.204973741118319,0.407407407407407,0.000161406257907374,0.4375,0.417910447761194,5.87353583482231,34,36,0.043087069741074,-0.0154363310131674,6.36931818181818,0.0461538461538462,0.0350877192982456,0.0864197530864197,0.428571428571429,0.4,0.316122584943371,-0.296213079383983,0.143717728055077,4.71583850931677,1.54813384813385,0.238450604122246,6.84615384615385
0.51,4.71638751551043,0.0170512822457374,0.202898550724638,0.206121892055791,0.409090909090909,0.00382782542514176,0.444444444444444,0.420892448512586,5.92445445445445,34,36,0.0499350132346139,-0.0112037783870518,6.41935483870968,0.0467986918604651,0.036144578313253,0.0875,0.428571428571429,0.4,0.317607843137255,-0.288764267400621,0.146155210643015,4.74285714285714,1.55310522959184,0.23943661971831,6.88597222222222
0.52,4.86862670768946,0.0232864549310191,0.204592074592075,0.207547169811321,0.410714285714286,0.00936337094062402,0.444444444444444,0.421902777777778,5.96143068939956,34,36,0.0586695024633177,-0.00525102601117092,6.46194871794872,0.0471036414565827,0.0375,0.0882352941176471,0.428571428571429,0.416666666666667,0.32,-0.28321972886962,0.147097396335583,4.78347972972973,1.56462117647059,0.241423804226919,6.92895238095238
0.53,4.98647769690822,0.0284145600332463,0.206349206349206,0.210116959064327,0.412698412698413,0.0149745275032729,0.444444444444444,0.423728813559322,6.01119948018194,34,36,0.0626617191256271,0.00149204322806345,6.52,0.0476190476190476,0.0379746835443038,0.0886075949367089,0.4375,0.416666666666667,0.321428571428571,-0.277325259635019,0.149253731343284,4.8293046185781,1.57696346153846,0.243589743589744,6.96684210526316
0.54,5.08297901057762,0.0346602026791245,0.208333333333333,0.214285714285714,0.414819407008086,0.0225036007409008,0.45,0.425611111111111,6.05761737604212,35,37,0.0739794283919861,0.00685552248717833,6.55771241830065,0.0483870967741935,0.0387912087912088,0.0895522388059701,0.4375,0.428571428571429,0.323076923076923,-0.272789877592791,0.15,4.88189895470383,1.59577348777349,0.245614035087719,7
0.55,5.13872651368305,0.0396809340671141,0.209866587017125,0.215384615384615,0.416666666666667,0.0268310667384438,0.454545454545455,0.426821138211382,6.09520592020592,35,37,0.0803141441626103,0.0123637969036993,6.63876262626263,0.0491803278688525,0.0394736842105263,0.0909090909090909,0.4375,0.428571428571429,0.323943661971831,-0.268434553419128,0.151515151515152,4.92836074872377,1.61399493243243,0.25,7.05263157894737
0.56,5.17182975068732,0.0452704236032167,0.212212121212121,0.217391304347826,0.419354838709677,0.0339237931170175,0.461538461538462,0.428571428571429,6.1287731092437,35,37,0.0877659787461535,0.0170281541583202,6.70699747687132,0.05,0.04,0.0909090909090909,0.444444444444444,0.428571428571429,0.327586206896552,-0.263021655860764,0.151964777105118,4.96323715693174,1.62105263157895,0.25,7.07274725274725
