type,region,viewer_index,cycle,target_label,target_url,game_id,request_start_ms,request_started_at,request_started_at_offset_ms,status,ttfb_ms,total_ms,body_bytes,body_hash_short,cf_cache_status,cf_ray,age,cache_control,server,server_timing,x_worker_cache,x_arch,x_replay_play_index,x_upstream_cache,content_encoding
request,us-west-1,2,23,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433861653,2026-05-10 17:24:21.653000+00:00,741258,200,247.91,249.04,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-1,1,24,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433861616,2026-05-10 17:24:21.616000+00:00,741221,200,167.28,309.36,2478604,4a5c34664791,,9f9aa3131c7064b6-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=8, percentiles;dur=6, render;dur=0, total;dur=14, cfEdge;dur=6,cfOrigin;dur=0,cfWorker;dur=134",,tiered,,HIT,br
request,us-west-1,3,24,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433867241,2026-05-10 17:24:27.241000+00:00,746846,200,562.95,704.42,2450521,7a067983a192,,9f9aa3365de33884-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=443, percentiles;dur=7, render;dur=0, total;dur=453, cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=516",,baseline,,,br
request,us-west-1,6,25,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433869428,2026-05-10 17:24:29.428000+00:00,749033,200,30.21,57.35,2450521,7a067983a192,HIT,9f9aa343ed2c3884-SJC,1,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=3, cfCacheStatus;desc=""HIT"", cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=3",HIT,baseline,,,br
request,us-west-1,7,24,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433870709,2026-05-10 17:24:30.709000+00:00,750314,200,110.72,155.06,2478604,4a5c34664791,,9f9aa34be8633884-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=9, percentiles;dur=4, render;dur=0, total;dur=13, cfEdge;dur=6,cfOrigin;dur=0,cfWorker;dur=75",,tiered,,HIT,br
request,us-west-1,13,24,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433874282,2026-05-10 17:24:34.282000+00:00,753887,200,148.29,163.49,2478604,4a5c34664791,,9f9aa3624ecb3884-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=10, percentiles;dur=7, render;dur=0, total;dur=17, cfEdge;dur=7,cfOrigin;dur=0,cfWorker;dur=64",,tiered,,HIT,br
request,us-west-1,0,25,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433875172,2026-05-10 17:24:35.172000+00:00,754777,200,41.41,70.98,2450521,7a067983a192,HIT,9f9aa367dd063884-SJC,7,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=5, cfCacheStatus;desc=""HIT"", cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=5",HIT,baseline,,,br
request,us-west-1,12,24,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433876794,2026-05-10 17:24:36.794000+00:00,756399,200,36.05,192.02,2450521,7a067983a192,HIT,9f9aa371fd893884-SJC,9,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=5, cfCacheStatus;desc=""HIT"", cfEdge;dur=4,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,us-west-1,4,24,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433877779,2026-05-10 17:24:37.779000+00:00,757384,200,97.82,225.06,2478604,4a5c34664791,,9f9aa3781d603884-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=10, percentiles;dur=5, render;dur=0, total;dur=15, cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=62",,tiered,,HIT,br
request,us-west-1,5,24,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433878182,2026-05-10 17:24:38.182000+00:00,757787,200,368.23,368.81,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
